name,latitude,longitude,free_bikes,empty_slots,total_number_bikes,station_id
Balard - Montagne de la Fage,48.838507403334,2.2782871127129,0,36,36,178
Clichy - Place Blanche,48.883601088297,2.3332237824798,4,16,20,179
Claude Vellefaux - Hôpital Saint-Louis,48.872859139003,2.3700717069851,17,13,30,180
Place des Droits de l'Enfant,48.8274804,2.3319217,18,19,37,181
Adrien Lesesne - Docteur Bauer,48.90263867304635,2.348248063431511,19,10,29,182
Vivienne - Montmartre,48.871347597383,2.3414588347077,5,34,39,183
Henri Chevreau - Couronnes,48.87033205312931,2.388777695596218,6,21,27,184
Godot de Mauroy - Madeleine,48.869789,2.326347,5,14,19,185
Place de l'Europe - Alfortville,48.78913702405837,2.4284800887107854,23,1,24,186
Chemin de Bretagne,48.824753068884,2.2588385956052,28,0,28,187
Verdier - République,48.815403766277,2.31739372015,12,15,27,188
Pailleron - Bouret,48.880516995482,2.3763902374411,2,23,25,189
Crimée - Ourcq,48.894104140316,2.3729460884673,15,40,55,190
Victor Hugo - Paul Eluard,48.819602554907,2.4114319673051,25,2,27,191
Niger - Soult,48.84369906369085,2.410361237220498,5,19,24,192
Pavé des Gardes - Charles Vaillant,48.81168551728,2.2111820107205,2,17,19,193
Messine - Place Du Pérou,48.875448033960744,2.315508019010038,2,8,10,194
Gare d'Asnières sur Seine,48.90636459217474,2.2835066914558415,10,12,22,195
Dareau - Broussais,48.8307758,2.3361804,7,16,23,196
Gare SNCF Vanves-Malakoff,48.819002163836444,2.292150005103606,17,31,48,197
Carpeaux - Place Jacques Froment,48.8906542,2.3309428,12,7,19,198
Pontoise - La Tournelle,48.850458009188,2.3524542754922,13,10,23,199
