station,name,distance,address,rating
4,Ciel de Paris,1285.7670817768674,33 avenue du Maine,3.6
4,Arrivederci pizzeria ,1535.9411507069299,47 rue Gay-Lussac,4.7
4,Le Timbre,1396.89508329788,3 rue Sainte Beuve,4.5
4,Le Kigawa,402.7052500482509,186 rue du Chateau,4.5
4,Swann et Vincent,279.604709125018,22 place Denfert-Rochereau,4.2
4,Il Etait un Square,1368.4913490356867,54 rue Corvisart,4.8
4,Le Plomb du Cantal,1070.2360343786183,3 rue de la Gaîté,3.7
4,Contre Allée,717.6986796601977,83 ave Denfert-Rochereau,4.3
4,Origins 14 - la Régalade,997.2314712669239,49 avenue Jean Moulin,4.1
4,Moustache,1398.0807439361508,3 Rue Sainte Beuve,4.5
4,La Grande Ourse,445.276995492796,9 Rue Georges Saché,4.3
4,A Mi-Chemin,186.95451464125927,31 rue Boulard,3.5
4,Deux Cigales,1284.0105331005152,8 Rue Brea,4.3
4,Le Bouquet d'Alesia,436.469913647179,75 avenue du Général Leclerc,3.4
4,Le Lakanal,305.8471723103914,2 ave René Coty,3.8
4,Augustin,541.1524506692891,79 rue Daguerre,4.0
4,Green Café,82.87401165279016,6 rue Brézin,4.7
4,Les Artistes,869.4561649376075,60 Rue Didot,3.8
4,L'Écir,509.3784720356143,59 bd Saint Jacques,3.8
4,Quartier Latin,2076.505392801558,1 Rue Mouffetard,4.5
4,Ei Shin Sushi,96.18081302188054,3 rue Ernest Cresson,4.5
4,La Truffière,2019.7621490539018,4 rue Blainville,4.0
4,Aux Plumes,130.59668694386502,45 rue Boulard,4.2
4,Il Far'niente,907.8832006576393,1 rue Paul Fort,3.9
4,Nagoya,1500.6144994052954,58 boulevard du Montparnasse,3.8
4,La Belle Ronde,248.8793367326766,19 rue Daguerre,3.5
4,Asian Bistro,25.33681727037426,3 rue Mouton-Duvernet,4.5
4,Le Clos Y,1405.673075565268,27 avenue du Maine,4.8
4,Le Resto,1939.8522975479807,8 rue Tournefort,4.6
4,Au Reveil du XV,1516.5225295659511,108 rue Falguière,4.7
5,Bistrotters,235.11424099926114,9 rue Decrès,4.6
5,L'Envie,19.828473594211875,57 rue Pernety,4.6
5,Ayako-Teppanyaki,180.08753995248665,67 rue d'Ouest,4.0
5,Neige d'Eté,1843.1727883615054,12 rue de l'Amiral Roussin,4.9
5,Chez Félicie,551.2020625356281,174 avenue du Maine,3.9
5,Les Frangines,163.51056609074067,46 Rue Raymond Losserand,3.5
5,Le Jeroboam,572.0990242672601,72 rue Didot,4.7
5,Il Gallo Nero,228.77717341856425,36 rue Raymond Losserand,3.9
5,La Verrière Paris,78.3682409704371,4 rue Niépce,4.7
5,Millésimes 62,297.58826896293255,13 place de Catalogne,3.7
5,Pizzeria Pernety,32.60823932941686,44 rue Pernety,3.7
5,Les Tontons,218.70069849579377,38 Rue Raymond Losserand,3.5
5,L'Assiette,483.11861599871816,181 rue du Château,4.1
5,Restaurant Georgette,1706.605088763993,44 rue d'Assas,4.6
5,Ciel de Paris,941.245784541733,33 avenue du Maine,3.6
5,L'Alexandra,250.42859773987743,6 Rue Pernety,4.7
5,Les Artistes,504.4304831783016,60 Rue Didot,3.8
5,Shiawase,130.41388664933626,97-99 rue Raymond Losserand,3.9
5,Le Timbre,1424.8949180122843,3 rue Sainte Beuve,4.5
5,Bustronome,4616.173761307952,2 avenue Kléber,4.5
5,Les Catacombes de Paris,1085.1741114483148,1 avenue du Colonel Henri Rol-Tanguy,4.2
5,Cobéa,417.4995344007609,11 rue Raymond Losserand,4.4
5,Le Petit Littré,1310.2780201892363,16 rue Littré,4.3
5,Le Comptoir,1301.614593940225,18 avenue René Coty,4.4
5,Le Plomb du Cantal,878.224445040716,3 rue de la Gaîté,3.7
5,Café du Rendez-Vous,1028.4023575666945,2 ave du Général Leclerc,3.6
5,La Vie d'Ange,1490.3868188468834,41 bd Saint-Jacques,4.6
5,Origins 14 - la Régalade,1063.9615336073266,49 avenue Jean Moulin,4.1
