station_name,latitude,longitude,free_bikes,empty_slots,total_number_bikes,station_id,poi_name,distance,address,rating
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Le Barbe à Papa,139.8483848409165,18 rue Condorcet,3.6
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Bien Bien,815.5138425152631,30bis rue Bergère,4.5
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9,Au Boeuf Couronné,285.85865784117215,188 avenue Jean Jaurès,4.1
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9,Philharmonie de Paris,89.34383291827743,221 avenue Jean Jaurès,4.2
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9,Café des Concerts,136.8000110183483,213 avenue Jean Jaurès,2.5
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9,Chez Arnaud,257.6338376726361,16 rue Eugene Jumin,4.1
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9,Biclowne Cafe,164.16184453359335,210 ave Jean Jaurès,4.4
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9,Nagasaki,272.02746143857786,194 Avenue Jean Jaurès,4.0
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9,Café Odilon,969.4858349299398,16 quai de la Marne,5.0
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9,Le Balcon,102.64526217141976,221 Avenue Jean Jaurès,3.5
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9,Les Bancs Publics,835.4788103861208,2 rue de Nantes,4.3
